TEAM_NAME,YEAR,GP,WINS,LOSSES,WIN_PCT,CONF_RANK,DIV_RANK,PO_WINS,PO_LOSSES,NBA_FINALS_APPEARANCE,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,PF,STL,TOV,BLK,PTS,PTS_RANK,start_year
Lakers,1948-49,60,44,16,0.733,0,2,8,2,LEAGUE CHAMPION,1885,0,0.0,0,0,0.0,0,1759,0.723,0,0,0,1134,1386,0,0,0,5042,1,1948
Lakers,1949-50,68,51,17,0.75,0,1,10,2,LEAGUE CHAMPION,2139,0,0.0,0,0,0.0,0,1943,0.741,0,0,0,1406,1672,0,0,0,5717,1,1949
Lakers,1950-51,68,44,24,0.647,0,1,3,4,N,2084,0,0.0,0,0,0.0,0,1989,0.736,0,0,0,1408,1801,0,0,0,5632,8,1950
Lakers,1951-52,66,40,26,0.606,0,2,9,4,LEAGUE CHAMPION,2106,0,0.0,0,0,0.0,0,1921,0.748,0,0,0,1389,1763,0,0,0,5648,5,1951
Lakers,1952-53,70,48,22,0.686,0,1,9,3,LEAGUE CHAMPION,2166,0,0.0,0,0,0.0,0,2221,0.725,0,0,0,1351,1917,0,0,0,5943,5,1952
Lakers,1953-54,72,46,26,0.639,0,1,9,4,LEAGUE CHAMPION,2184,0,0.0,0,0,0.0,0,2067,0.731,0,0,0,1323,1918,0,0,0,5880,3,1953
Lakers,1954-55,72,40,32,0.556,0,2,3,4,N,2506,0,0.0,0,0,0.0,0,2517,0.744,0,0,0,1468,1935,0,0,0,6885,2,1954
Lakers,1980-81,82,54,28,0.659,3,2,1,2,N,3780,0,0.0,17,0,0.0,0,2113,0.729,1165,2491,3656,2363,1955,808,1557,551,9117,5,1980
Lakers,1981-82,82,57,25,0.695,1,1,12,2,LEAGUE CHAMPION,3919,0,0.0,13,0,0.0,0,2161,0.717,1258,2505,3763,2356,1999,848,1468,517,9400,2,1981
Lakers,1982-83,82,58,24,0.707,1,1,8,7,FINALS APPEARANCE,3964,7512,0.528,10,96,0.104,1495,2031,0.736,1235,2433,3668,2519,1931,844,1584,479,9433,2,1982
Lakers,1983-84,82,54,28,0.659,1,1,14,7,FINALS APPEARANCE,3854,7250,0.532,58,226,0.257,1712,2272,0.754,1095,2499,3594,2455,2054,726,1578,478,9478,4,1983
Lakers,1984-85,82,62,20,0.756,1,1,15,4,LEAGUE CHAMPION,3952,7254,0.545,90,295,0.305,1702,2232,0.763,1063,2550,3613,2575,1931,695,1537,481,9696,2,1984
Lakers,1985-86,82,62,20,0.756,1,1,8,6,N,3834,7343,0.522,138,409,0.337,1812,2329,0.778,1101,2555,3656,2433,2031,693,1467,419,9618,1,1985
Lakers,1986-87,82,65,17,0.793,1,1,15,3,LEAGUE CHAMPION,3740,7245,0.516,164,447,0.367,2012,2550,0.789,1127,2515,3642,2428,1853,728,1358,482,9656,2,1986
Lakers,1987-88,82,62,20,0.756,1,1,15,9,LEAGUE CHAMPION,3576,7078,0.505,142,478,0.297,1956,2480,0.789,1073,2491,3564,2347,1715,672,1318,404,9250,5,1987
Lakers,1988-89,82,57,25,0.695,1,1,11,4,FINALS APPEARANCE,3584,7143,0.502,227,667,0.34,2011,2508,0.802,1094,2612,3706,2282,1672,724,1344,421,9406,5,1988
Lakers,2000-01,82,56,26,0.683,2,1,15,1,LEAGUE CHAMPION,3109,6685,0.465,439,1275,0.344,1594,2333,0.683,1085,2583,3668,1888,1872,564,1184,490,8251,3,2000
Lakers,2001-02,82,58,24,0.707,3,2,15,4,LEAGUE CHAMPION,3150,6840,0.461,510,1439,0.354,1494,2138,0.699,1022,2607,3629,1882,1823,625,1040,478,8304,3,2001
Lakers,2002-03,82,50,32,0.61,5,2,6,6,N,3091,6856,0.451,486,1367,0.356,1562,2129,0.734,1078,2554,3632,1909,1874,639,1192,470,8230,4,2002
Lakers,2003-04,82,56,26,0.683,2,1,13,9,FINALS APPEARANCE,3028,6676,0.454,365,1115,0.327,1631,2352,0.693,1001,2535,3536,1948,1732,682,1132,379,8052,3,2003
Lakers,2004-05,82,34,48,0.415,11,4,0,0,N,2895,6629,0.437,644,1813,0.355,1661,2137,0.777,1028,2511,3539,1672,1794,508,1176,344,8095,12,2004
