TEAM_NAME,YEAR,GP,WINS,LOSSES,WIN_PCT,CONF_RANK,DIV_RANK,PO_WINS,PO_LOSSES,NBA_FINALS_APPEARANCE,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,PF,STL,TOV,BLK,PTS,PTS_RANK,start_year
Spurs,1999-00,82,53,29,0.646,4,2,1,3,N,2952,6393,0.462,330,882,0.374,1652,2214,0.746,927,2666,3593,1819,1716,614,1233,551,7886,21,1999
Spurs,2000-01,82,58,24,0.707,1,1,7,6,N,2884,6262,0.461,445,1094,0.407,1673,2340,0.715,902,2712,3614,1778,1551,568,1145,576,7886,12,2000
Spurs,2001-02,82,58,24,0.707,2,1,4,6,N,2913,6363,0.458,438,1211,0.362,1668,2249,0.742,907,2566,3473,1643,1575,625,1180,537,7932,10,2001
Spurs,2002-03,82,60,22,0.732,1,1,16,8,LEAGUE CHAMPION,2908,6297,0.462,449,1270,0.354,1591,2194,0.725,939,2556,3495,1636,1672,629,1295,529,7856,12,2002
Spurs,2003-04,82,57,25,0.695,3,2,6,4,N,2842,6434,0.442,408,1140,0.358,1409,2069,0.681,1029,2669,3698,1676,1667,661,1203,537,7501,19,2003
Spurs,2004-05,82,59,23,0.72,2,1,16,7,LEAGUE CHAMPION,2923,6450,0.453,507,1395,0.363,1535,2120,0.724,987,2489,3476,1771,1717,613,1126,543,7888,18,2004
Spurs,2005-06,82,63,19,0.768,1,1,7,6,N,2993,6342,0.472,524,1362,0.385,1327,1891,0.702,851,2548,3399,1717,1714,543,1126,467,7837,21,2005
Spurs,2006-07,82,58,24,0.707,3,2,16,4,LEAGUE CHAMPION,2999,6328,0.474,595,1561,0.381,1486,1980,0.751,761,2577,3338,1814,1588,587,1137,417,8079,14,2006
Spurs,2007-08,82,56,26,0.683,3,2,9,8,N,2938,6424,0.457,594,1610,0.369,1350,1774,0.761,771,2612,3383,1718,1537,521,1035,337,7820,27,2007
Spurs,2008-09,82,54,28,0.659,3,1,1,4,N,3042,6534,0.466,625,1620,0.386,1249,1641,0.761,728,2638,3366,1736,1546,474,963,329,7958,23,2008
Spurs,2009-10,82,50,32,0.61,7,2,4,6,N,3150,6659,0.473,554,1547,0.358,1458,1969,0.74,887,2621,3508,1829,1669,516,1116,381,8312,15,2009
Spurs,2010-11,82,61,21,0.744,1,1,2,4,N,3148,6628,0.475,685,1727,0.397,1521,1984,0.767,829,2603,3432,1836,1556,602,1101,372,8502,6,2010
Spurs,2011-12,66,50,16,0.758,1,1,10,4,N,2611,5463,0.478,552,1405,0.393,1067,1427,0.748,683,2153,2836,1528,1143,490,895,293,6841,2,2011
Spurs,2012-13,82,58,24,0.707,2,1,15,6,FINALS APPEARANCE,3210,6675,0.481,663,1764,0.376,1365,1725,0.791,666,2721,3387,2058,1427,695,1206,446,8448,4,2012
Spurs,2013-14,82,62,20,0.756,1,1,16,7,LEAGUE CHAMPION,3326,6844,0.486,698,1757,0.397,1289,1642,0.785,762,2786,3548,2064,1495,604,1180,420,8639,6,2013
Spurs,2014-15,82,55,27,0.671,6,3,3,4,N,3208,6854,0.468,677,1847,0.367,1368,1754,0.78,806,2772,3578,2000,1564,657,1146,444,8461,7,2014
